host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
36077314,Lucimar,Jacarepaguá,Entire home/apt,214,1,5,1,326
32041008,Pedro,Ipanema,Private room,229,2,0,2,330
13180189,Cristina,Santa Teresa,Private room,60,3,10,3,291
12993191,"Augusto, Gabriel E Joana",Laranjeiras,Entire home/apt,488,2,9,1,194
66877715,Alan Mattos,Copacabana,Entire home/apt,3500,10,0,43,365
8930850,Lucy,Leme,Entire home/apt,150,3,0,1,168
46019273,Rosa,Ipanema,Entire home/apt,2501,3,0,2,89
48560346,Marcio,Leblon,Entire home/apt,999,3,0,1,363
101434759,Jane,Copacabana,Entire home/apt,349,2,1,1,90
34648471,Andreia,Jacarepaguá,Entire home/apt,500,5,0,1,364
37567754,Claudio,Jacarepaguá,Entire home/apt,751,1,0,1,365
11671430,Cristina,Jacarepaguá,Entire home/apt,131,5,7,12,160
84784052,Daniele,Barra da Tijuca,Entire home/apt,999,10,0,1,365
188381496,Alexandre,Jacarepaguá,Entire home/apt,252,2,5,2,2
54832766,Ricardo,Botafogo,Entire home/apt,376,3,3,1,83
14335732,Tatiana,Flamengo,Entire home/apt,1998,20,0,1,365
82464276,Heloisa,Jacarepaguá,Private room,699,1,0,9,365
15025215,Ana,Flamengo,Entire home/apt,1878,3,0,5,364
5352473,Fernanda,Flamengo,Entire home/apt,500,1,0,1,364
211605847,Renan,Flamengo,Entire home/apt,109,7,0,1,16
46238063,Luiz Arthur,Flamengo,Entire home/apt,162,3,2,1,253
70234514,Amilar,Jacarepaguá,Private room,252,2,0,1,364
91654021,Daniel,Flamengo,Entire home/apt,304,4,0,213,365
21965585,Alessandra,Botafogo,Entire home/apt,154,2,27,1,120
44445813,Rafael,Jacarepaguá,Private room,173,2,21,2,365
14876271,Luciana,Catete,Private room,109,3,9,1,362
114855824,Solange,Flamengo,Private room,101,1,2,1,337
7708283,Cintia,Jacarepaguá,Entire home/apt,203,365,1,2,358
12439673,Leticia,Botafogo,Entire home/apt,199,1,2,1,362
4947523,Lívio,Flamengo,Entire home/apt,199,10,7,2,348
76099479,Leandro,Flamengo,Entire home/apt,751,5,0,1,89
112766245,Aurea,Botafogo,Entire home/apt,300,3,7,1,107
88195357,Elvert,Botafogo,Private room,116,2,0,1,363
706545,Brunna,Catete,Shared room,751,2,0,1,365
2343473,Ana,Flamengo,Private room,901,2,0,4,365
4664899,Bruno,Glória,Entire home/apt,297,5,1,1,365
23652838,Danilo,Santa Teresa,Entire home/apt,300,3,1,3,365
13338697,João Carlos,Catete,Entire home/apt,1998,15,0,1,365
11555320,Mila,Flamengo,Private room,342,1,0,5,89
4362431,Pauline And Rodrigo,Glória,Entire home/apt,101,2,89,4,298
15485906,Ricardo,Flamengo,Private room,101,1,0,1,89
10080658,Amanda,Flamengo,Private room,199,7,0,2,83
128696928,Ana,Glória,Entire home/apt,199,2,0,1,180
40636791,Pedro,Catete,Entire home/apt,999,1,0,1,90
30504664,Paola,Copacabana,Entire home/apt,398,3,0,2,11
82067673,Peter,Gávea,Entire home/apt,7512,1,0,1,358
167973189,Marcelo,Botafogo,Entire home/apt,300,2,3,1,10
1712679,Ana Amelia,Leblon,Entire home/apt,282,4,55,2,359
84533996,Natalia,Catete,Private room,188,2,0,1,365
530231,Yaya,Leblon,Entire home/apt,398,2,9,6,354
120776963,Olga Helena,Botafogo,Private room,79,1,37,2,159
15636834,Diamond,Centro,Private room,379,1,0,1,365
70552262,Marcia,Santa Teresa,Private room,342,1,0,1,362
3399556,Antonio,Glória,Private room,207,3,2,2,362
16261402,Brani,Copacabana,Entire home/apt,229,2,2,1,363
4886880,Micaela,Ipanema,Entire home/apt,1998,4,0,1,358
