host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
90429776,Copacabana,Entire home/apt,601,4,0,1,363
32140168,Copacabana,Entire home/apt,259,2,27,3,261
48354426,Ipanema,Entire home/apt,5901,2,0,1,358
52030910,Leme,Entire home/apt,270,3,3,1,88
39018352,Copacabana,Entire home/apt,488,1,19,4,350
27308403,Copacabana,Private room,150,1,19,2,362
138579858,Copacabana,Entire home/apt,83,1,0,1,365
84569339,Leme,Entire home/apt,800,2,0,1,365
24519304,Copacabana,Private room,199,3,0,3,364
2413540,Copacabana,Private room,128,3,15,5,335
199897874,Copacabana,Entire home/apt,255,2,4,1,210
211212807,Copacabana,Private room,86,30,0,1,365
26894700,Ipanema,Entire home/apt,180,1,1,1,357
46975659,Copacabana,Entire home/apt,154,3,24,1,352
52122756,Leme,Entire home/apt,729,3,0,5,365
61857151,Copacabana,Entire home/apt,199,4,5,1,325
79484264,Leme,Entire home/apt,901,2,0,3,365
108015415,Copacabana,Private room,101,1,10,1,317
15525712,Leme,Entire home/apt,199,2,0,1,340
5125299,Leme,Private room,162,2,0,2,95
2223774,Copacabana,Private room,180,2,9,3,158
31275569,Ipanema,Entire home/apt,541,1,0,114,356
84048033,Copacabana,Entire home/apt,203,3,1,6,95
4893291,Copacabana,Private room,109,1,0,1,194
8975746,Copacabana,Entire home/apt,210,3,0,40,361
137007102,Ipanema,Entire home/apt,541,3,0,3,365
61433326,Ipanema,Shared room,64,1,4,5,281
115507233,Ipanema,Entire home/apt,203,2,30,3,279
44254450,Copacabana,Entire home/apt,105,2,36,1,123
57437565,Ipanema,Entire home/apt,162,2,94,1,113
134895302,Copacabana,Entire home/apt,349,2,0,1,358
12909867,Ipanema,Entire home/apt,169,2,1,35,347
13639453,Ipanema,Entire home/apt,233,2,103,1,313
30165706,Copacabana,Entire home/apt,676,1,0,4,304
126896572,Copacabana,Entire home/apt,150,1,0,1,363
22805631,Ipanema,Entire home/apt,751,4,6,75,83
73850174,Copacabana,Entire home/apt,999,6,0,1,363
4975068,Copacabana,Entire home/apt,349,1,0,3,364
4307081,Ipanema,Entire home/apt,676,1,0,55,365
49633301,Leblon,Entire home/apt,192,1,0,4,127
1673501,Santa Teresa,Private room,548,1,0,5,365
7825664,Santa Teresa,Private room,60,1,0,2,88
50458137,Botafogo,Entire home/apt,601,1,0,54,180
113221953,Santa Teresa,Entire home/apt,500,4,0,1,90
30068364,Leblon,Private room,1998,1,0,1,365
14775548,Santa Teresa,Private room,192,4,0,1,365
