host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
315989,Luciana,Ipanema  ,Entire home/apt,939,4,0,,,3,358
315989,Luciana,Barra da Tijuca,Entire home/apt,289,3,0,,,3,83
319672,Valeria,Ipanema  ,Entire home/apt,338,1,260,09/10/2018,3.16,5,225
319672,Valeria,Lagoa  ,Entire home/apt,282,2,289,08/10/2018,3.54,5,218
319672,Valeria,Copacabana  ,Entire home/apt,188,2,218,22/09/2018,3.37,5,234
319672,Valeria,Ipanema  ,Entire home/apt,319,2,231,01/10/2018,4.41,5,211
319672,Valeria,Ipanema  ,Entire home/apt,285,2,156,08/10/2018,4.71,5,207
323720,Flavio,Cosme Velho ,Private room,109,1,11,26/12/2017,0.33,1,365
326301,Frederic,Flamengo  ,Entire home/apt,259,4,1,24/08/2016,0.04,1,301
326718,Rita,Portuguesa  ,Entire home/apt,800,5,0,,,1,0
328096,Carlos,Copacabana  ,Entire home/apt,150,3,143,08/10/2018,1.55,3,175
328096,Carlos,Ipanema  ,Entire home/apt,252,3,36,04/10/2018,2.42,3,172
328096,Carlos,Ipanema  ,Entire home/apt,240,3,23,30/09/2018,3.22,3,145
332695,Daniel,Barra da Tijuca,Entire home/apt,2501,1,2,21/08/2016,0.08,2,365
332695,Daniel,Leblon  ,Entire home/apt,2501,1,0,,,2,364
334607,Luana,Botafogo  ,Private room,150,2,4,06/07/2014,0.06,1,365
336908,Alexandre,Glaria  ,Private room,75,1,13,08/10/2018,0.6,5,90
336908,Alexandre,Centro  ,Private room,259,1,5,13/02/2018,0.23,5,131
336908,Alexandre,Centro  ,Private room,169,1,15,06/09/2018,0.69,5,131
336908,Alexandre,Centro  ,Private room,169,1,9,04/10/2018,0.48,5,349
336908,Alexandre,Centro  ,Entire home/apt,601,1,1,01/10/2018,1,5,349
338919,Charles,Ipanema  ,Entire home/apt,394,2,170,28/09/2018,2.34,1,331
339264,David,Copacabana  ,Private room,109,1,79,22/11/2017,0.84,1,365
343419,Marta,Copacabana  ,Private room,244,7,0,,,1,363
348748,Julie,Ipanema  ,Entire home/apt,526,2,4,07/08/2018,0.56,1,128
352432,Benjamin,Copacabana  ,Private room,195,3,0,,,1,0
352650,Mariana,Barra da Tijuca,Entire home/apt,1315,7,0,,,1,363
356925,Soraia,Leblon  ,Entire home/apt,274,5,0,,,1,104
357307,Dircalia,Ipanema  ,Entire home/apt,361,1,98,30/09/2018,4.48,1,292
357635,Cristiana,Leblon  ,Private room,451,2,13,12/08/2016,0.16,1,363
357995,Isa & Paolo,Santa Teresa ,Private room,162,2,2,24/06/2017,0.1,2,365
357995,Isa & Paolo,Santa Teresa ,Private room,68,2,0,,,2,84
378020,Jose,Leme  ,Entire home/apt,308,2,11,07/04/2018,0.95,1,8
379211,Lc,Ipanema  ,Entire home/apt,282,2,12,13/02/2018,0.17,1,162
384673,Pedro,Copacabana  ,Entire home/apt,116,3,130,14/06/2018,1.4,1,174
385461,Thiago,Ipanema  ,Entire home/apt,94,2,80,08/09/2018,2.93,1,109
387915,Paula,Copacabana  ,Private room,53,1,0,,,1,0
396108,Gisella,Leblon  ,Private room,113,2,47,01/07/2018,0.6,4,50
396108,Gisella,Centro  ,Entire home/apt,64,2,15,09/09/2018,0.22,4,137
396108,Gisella,Leblon  ,Entire home/apt,248,2,147,01/10/2018,2.26,4,116
396108,Gisella,Leblon  ,Entire home/apt,428,5,0,,,4,24
396869,Valaria,Santa Teresa ,Private room,131,1,1,27/06/2014,0.02,1,365
400219,Elaine,Copacabana  ,Entire home/apt,721,1,32,25/03/2018,0.98,1,339
400293,Sepp,Copacabana  ,Entire home/apt,1957,4,0,,,3,194
400293,Sepp,Copacabana  ,Private room,116,2,47,17/09/2018,1.77,3,121
400293,Sepp,Copacabana  ,Private room,124,2,11,06/09/2018,0.96,3,249
401375,Stefan,Copacabana  ,Entire home/apt,334,5,84,10/05/2018,0.91,1,306
401686,Anna Lucia,Leblon  ,Entire home/apt,676,2,89,09/09/2018,1.48,1,311
401793,Raizza,Glaria  ,Private room,71,2,152,30/09/2018,1.94,2,134
401793,Raizza,Glaria  ,Private room,56,1,29,13/09/2018,0.83,2,212
402478,Sascha,Copacabana  ,Entire home/apt,177,3,4,11/02/2016,0.06,2,360
402478,Sascha,Ipanema  ,Entire home/apt,225,3,1,10/10/2018,1,2,336
403098,Alexandre,Barra da Tijuca,Entire home/apt,293,6,5,02/01/2018,0.34,1,130
406651,Diogo,Copacabana  ,Entire home/apt,349,2,104,23/09/2018,1.19,1,296
406989,Casa 48 Guesthouse,Santa Teresa ,Private room,173,1,172,07/10/2018,2.13,7,320
406989,Casa 48 Guesthouse,Santa Teresa ,Private room,173,1,62,12/08/2018,0.86,7,347
406989,Casa 48 Guesthouse,Santa Teresa ,Private room,173,1,30,04/04/2018,0.5,7,358
406989,Casa 48 Guesthouse,Santa Teresa ,Private room,240,1,47,06/09/2018,0.72,7,320
406989,Casa 48 Guesthouse,Santa Teresa ,Entire home/apt,86,7,1,26/08/2016,0.04,7,145
406989,Casa 48 Guesthouse,Santa Teresa ,Private room,195,1,19,13/06/2018,0.36,7,353
406989,Casa 48 Guesthouse,Santa Teresa ,Private room,173,1,24,08/06/2018,0.46,7,358
408504,Helena,Copacabana  ,Private room,199,2,5,08/12/2014,0.06,1,365
408900,Adam,Vidigal  ,Private room,150,1,4,15/01/2016,0.06,11,284
408900,Adam,Vidigal  ,Private room,131,1,4,02/04/2017,0.07,11,194
408900,Adam,Vidigal  ,Private room,90,1,2,11/06/2014,0.03,11,194
408900,Adam,Vidigal  ,Shared room,34,1,3,15/08/2016,0.05,11,194
408900,Adam,Vidigal  ,Private room,90,1,2,08/12/2016,0.04,11,194
408900,Adam,Vidigal  ,Private room,101,1,2,22/01/2016,0.04,11,194
408900,Adam,Vidigal  ,Private room,101,1,0,,,11,194
408900,Adam,Vidigal  ,Private room,71,1,0,,,11,194
408900,Adam,Vidigal  ,Private room,109,1,1,16/03/2015,0.02,11,166
408900,Adam,Vidigal  ,Private room,71,1,3,27/07/2017,0.08,11,194
408900,Adam,Rocinha  ,Entire home/apt,199,3,0,,,11,365
411441,Marcelle & Davog,Centro  ,Entire home/apt,71,2,78,26/07/2018,0.85,2,44
411441,Marcelle & Davog,Catete  ,Entire home/apt,150,2,28,06/05/2018,0.55,2,76
413577,Bernardo,Barra da Tijuca,Entire home/apt,1998,2,4,25/05/2018,0.38,1,89
419241,Sergio,Ipanema  ,Private room,601,1,5,13/02/2018,0.19,1,365
420174,Adriana,Ipanema  ,Entire home/apt,699,2,2,01/01/2018,0.1,2,89
420174,Adriana,Barra da Tijuca,Entire home/apt,1499,1,0,,,2,364
422874,Carlos,Copacabana  ,Entire home/apt,349,5,5,28/12/2017,0.15,1,362
430120,Adriana,Camorim  ,Entire home/apt,751,3,0,,,1,87
432777,Andreas,Santa Teresa ,Private room,75,2,12,10/02/2016,0.17,2,365
432777,Andreas,Santa Teresa ,Private room,131,2,1,11/05/2014,0.02,2,365
440892,Mario,Flamengo  ,Entire home/apt,300,3,1,10/02/2016,0.03,1,363
441418,Josa,Copacabana  ,Entire home/apt,177,3,20,19/02/2017,0.28,4,252
441418,Josa,Copacabana  ,Private room,120,3,1,06/10/2013,0.02,4,362
441418,Josa,Santa Teresa ,Entire home/apt,109,3,5,10/01/2015,0.09,4,365
441418,Josa,Copacabana  ,Entire home/apt,180,4,5,18/02/2018,0.11,4,358
449677,Renato  Louri,Copacabana  ,Entire home/apt,150,3,13,26/08/2015,0.16,8,357
449677,Renato  Louri,Copacabana  ,Private room,192,5,20,31/01/2017,0.24,8,362
449677,Renato  Louri,Copacabana  ,Entire home/apt,158,3,21,06/02/2018,0.26,8,363
449677,Renato  Louri,Copacabana  ,Entire home/apt,150,3,33,09/09/2018,0.48,8,211
449677,Renato  Louri,Copacabana  ,Entire home/apt,150,3,18,29/01/2018,0.26,8,210
449677,Renato  Louri,Copacabana  ,Entire home/apt,1701,15,0,,,8,63
449677,Renato  Louri,Copacabana  ,Entire home/apt,597,14,4,25/01/2015,0.08,8,363
449677,Renato  Louri,Copacabana  ,Private room,131,3,0,,,8,363
453307,Angela,Barra da Tijuca,Entire home/apt,252,2,7,13/02/2018,0.27,1,340
